Lat,Long,City,Country,Temperature (F),Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
52.14606234796551,14.819761511092508,eisenhuttenstadt,de,,,,,
-22.97,-42.03,arraial do cabo,br,71.6,71.6,88,92,10.29
-15.82,-50.61,itapirapua,br,69.31,69.31,74,14,3.18
38.32,26.76,urla,tr,56.91,59,87,25,4.7
-6.1,-39.45,acopiara,br,71.83,71.83,93,52,2.08
17.05032610949381,32.587596525296306,umm durman,sd,,,,,
42.6,-73.97,albany,au,40.46,42.01,57,100,1.01
43.24469875445217,-59.52215111590424,louisbourg,ca,,,,,
69.49,88.4,talnakh,ru,33.8,33.8,69,0,6.71
-24.87,113.63,carnarvon,au,75.7,75.7,30,67,14.09
56.67,124.65,neryungri,ru,37.94,37.94,72,100,10.67
-28.78,32.04,richards bay,za,65.59,65.59,90,39,6.69
43.77,11.25,florence,us,57.76,60.01,93,40,3.36
5.41,100.34,georgetown,sh,81.54,84.2,88,20,2.24
-34.42,19.23,hermanus,za,59.99,59.99,71,91,10.4
59.7,30.79,nikolskoye,ru,32.45,33.8,86,100,6.71
62.46,-114.35,yellowknife,ca,34.39,35.01,59,20,20.8
-0.6,73.08,hithadhoo,mv,84.06,84.06,76,100,9.86
3.07,172.79,butaritari,ki,83.79,83.79,78,0,20.18
47.67,-52.73,torbay,ca,43.79,44.6,100,90,21.92
-33.59,26.89,port alfred,za,62.01,62.01,94,84,1.99
42.1,-79.24,jamestown,sh,40.91,44.01,60,1,5.82
-33.93,18.42,cape town,za,56.55,60.01,82,75,2.24
71.92,114.08,saskylakh,ru,26.67,26.67,97,100,11.18
22.89,-109.91,cabo san lucas,mx,79.7,80.6,36,5,11.41
-33.02,27.91,east london,za,66.51,66.51,74,100,22.62
19.73,-155.09,hilo,us,77.47,84.2,54,75,12.75
-17.73,-149.15,tautira,pf,87.8,87.8,62,100,10.29
65.61,-37.64,tasiilaq,gl,32,32,94,0,11.41
22.68,-3.98,taoudenni,ml,88.97,88.97,14,0,12.08
67.68,53.15,iskateley,ru,35.55,35.55,95,36,8.93
28.18,68.04,usta muhammad,pk,83.79,83.79,51,0,2.8
-21.2,-175.2,vaini,to,80.6,80.6,74,75,8.05
63.83,20.26,umea,se,24.8,24.8,92,0,3.36
-12.12,-73.0,pangoa,pe,70.45,70.45,94,75,1.99
18.22,42.51,abha,sa,67.82,69.8,55,0,2.64
53.6,91.39,belyy yar,ru,60.8,60.8,63,0,4.27
-33.92,25.57,port elizabeth,za,60.8,60.8,93,75,9.17
35.04,46.36,paveh,ir,46.96,46.96,51,0,3.36
11.05,14.14,mora,cm,83.71,83.71,49,0,4.97
-26.82,-65.22,tucuman,ar,53.6,53.6,76,0,8.05
45.52,-122.68,portland,au,57.51,60.01,76,99,12.75
-3.48,23.43,lodja,cd,69.93,69.93,97,88,1.39
-9.8,-139.03,atuona,pf,80.56,80.56,73,18,18.84
72.79,-56.15,upernavik,gl,36.28,36.28,81,96,10.92
76.57621247078035,56.80837736035079,belushya guba,ru,,,,,
34.69,135.8,nara,ml,72.66,73.4,49,20,16.11
62.14,117.63,suntar,ru,39.87,39.87,63,94,7.11
-10.62,150.67,samarai,pg,80.78,80.78,72,42,6.26
44.25,-116.97,weiser,us,62.08,64.4,34,75,25.28
-53.15,-70.92,punta arenas,cl,41,41,65,57,11.41
-2.57,150.8,kavieng,pg,80.53,80.53,81,100,7.49
2.052326007905407,172.3322345141815,taburao,ki,,,,,
-8.93,125.41,airai,pw,71.24,71.24,67,99,5.03
-17.51,-149.49,mahina,pf,87.8,87.8,62,100,10.29
54.77,-101.86,flin flon,ca,46.15,46.15,47,0,6.33
55.74,-97.86,thompson,ca,50,50,23,20,10.29
25.7,100.18,dali,cn,68.54,68.54,49,54,6.89
22.29,114.16,victoria,sc,80.98,84.99,82,35,7
-38.0,-57.56,mar del plata,ar,51.94,53.01,81,100,9.17
-46.6,168.33,bluff,nz,50.68,50.68,60,0,4.85
-25.24,130.99,yulara,au,64.4,64.4,20,0,12.75
-9.43,159.95,honiara,sb,87.8,87.8,70,75,6.93
70.47,-68.59,clyde river,ca,19.4,19.4,92,90,17.22
40.6,-124.16,fortuna,us,57.72,59,76,90,10.29
-33.65,115.33,busselton,au,59.97,64,49,100,7.63
-13.13,39.0,montepuez,mz,64.2,64.2,96,4,3.8
10.57,72.64,kavaratti,in,86.18,86.18,75,100,10.49
-26.65,15.16,luderitz,na,53.6,53.6,93,75,4.7
67.47,78.7,tazovskiy,ru,32.88,32.88,97,100,12.57
-33.01,17.94,saldanha,za,50,50,81,71,1.12
6.671086254589454,-173.4532193824781,vaitupu,wf,,,,,
-20.33,-40.29,vila velha,br,69.06,70,94,100,4.7
-55.33016709644487,55.80931148565537,taolanaro,mg,,,,,
54.15,-115.69,whitecourt,ca,51.8,51.8,37,40,10.29
25.72,-79.3,alice town,bs,76.44,76.44,70,100,22.57
-18.06,13.84,opuwo,na,64.27,64.27,50,58,0.96
28.66,-17.92,los llanos de aridane,es,68,68,64,40,3.36
-25.01,-47.93,cananeia,br,69.3,69.3,77,80,3.76
-34.68,150.87,kiama,au,62.44,64,52,100,5.99
-42.78,147.06,new norfolk,au,47.8,52,77,59,3
36.62,-121.92,pacific grove,us,61.09,62.01,84,0,3
70.86,29.09,berlevag,no,28.99,28.99,90,0,18.12
-19.58,-65.75,potosi,bo,39.02,39.02,61,71,5.08
22.08,-159.32,kapaa,us,77.77,78.8,74,75,14.99
-37.62,-73.65,lebu,cl,51.51,51.51,83,24,7.76
-54.8,-68.3,ushuaia,ar,41,41,65,75,35.57
-0.93,-79.22,la mana,ec,55.4,55.4,71,75,10.29
54.81,105.16,zhigalovo,ru,45.45,45.45,74,100,13.56
78.22,15.64,longyearbyen,sj,26.6,26.6,79,90,32.21
18.42,-64.62,road town,vg,81.43,82.4,74,1,9.17
-34.05,23.37,plettenberg bay,za,59.47,59.47,80,55,13.06
-9.09,-78.58,chimbote,pe,68.22,68.22,85,15,7.49
27.91,-15.45,aguimes,es,68.54,69.8,60,20,12.75
-3.8,102.27,bengkulu,id,83.66,83.66,71,34,2.8
27.6,-110.38,potam,mx,85.3,86,27,5,10.29
39.72,45.65,saravan,la,46.4,46.4,75,0,11.41
-42.88,147.33,hobart,au,50.25,52,53,40,20.8
-45.42,167.72,te anau,nz,54.66,54.66,49,0,2.68
32.67,-17.1,ponta do sol,cv,58.98,62.6,67,20,4.7
41.3,-82.98,clyde,nz,52.03,53.01,39,27,1.99
15.17,44.32,sayyan,ye,62.1,62.1,40,0,7.47
43.44,-3.46,santona,es,55.13,55.99,87,90,1.05
-21.54,-64.73,tarija,bo,55.87,55.87,72,34,1.1
25.02,37.27,umm lajj,sa,78.91,78.91,40,50,6.08
-30.18,-50.21,cidreira,br,66.38,66.38,94,100,10.92
13.47,22.2,adre,td,79.52,79.52,18,100,11.68
-0.74,-90.35,puerto ayora,ec,75.99,75.99,94,72,9.53
-34.53,20.04,bredasdorp,za,57.2,57.2,76,57,9.17
65.58,-171.0,lavrentiya,ru,33.08,33.08,95,98,1.61
43.4,5.37,septemes-les-vallons,fr,58.37,60.8,82,100,11.41
46.62,10.7,lasa,cn,46.4,46.4,100,75,8.05
26.59,12.78,awbari,ly,81.16,81.16,14,0,8.43
15.089246828131138,-62.11027769014973,coulihaut,dm,,,,,
51.32,42.77,kamenka,ru,53.51,54,91,100,3
-46.19,168.86,mataura,pf,54.19,54.19,49,0,1.99
51.23,-58.65,saint-augustin,ca,35.65,35.65,95,100,25.32
71.29,-156.79,barrow,us,24.8,24.8,79,1,33.33
71.97,102.5,khatanga,ru,19.31,19.31,97,79,7.43
-13.61,-42.94,riacho de santana,br,71.6,71.6,88,7,5.82
-3.2,-59.81,careiro da varzea,br,80.6,80.6,88,100,2.24
6.33,99.84,kuah,my,86,86,79,20,6.93
38.52,-28.7,ribeira grande,pt,57.6,57.6,70,45,25.59
24.09,32.91,aswan,eg,80.22,80.22,20,16,7.52
47.65,53.35,makat,kz,60.87,60.87,75,0,7.18
-0.31,32.23,kalangala,ug,71.6,71.6,94,20,7.92
-37.83,140.77,mount gambier,au,51.8,51.8,76,75,9.17
-2.65,10.0,gamba,ga,76.62,76.62,92,100,3.38
40.66,-73.58,freeport,us,53.11,55,25,40,3.36
48.01,91.64,hovd,mn,60.69,60.69,33,100,9.4
55.1,-105.28,la ronge,ca,55.4,55.4,20,20,6.93
-21.21,-159.78,avarua,ck,80.6,80.6,94,0,4.7
15.74,-96.47,pochutla,mx,83.75,83.75,67,28,3.76
69.22,-51.1,ilulissat,gl,39.2,39.2,69,100,5.82
-7.73,114.1,panji,id,86.76,86.76,58,14,1.52
57.05,-135.33,sitka,us,60.8,60.8,59,1,3.36
-20.01,57.66,grand gaube,mu,73.4,73.4,69,20,8.05
-20.52,57.52,souillac,mu,73.4,73.4,69,20,8.05
33.73,135.98,shingu,jp,71.6,71.6,46,20,19.46
-41.87,-73.82,ancud,cl,49.06,50,87,90,3.36
64.38,-173.3,provideniya,ru,35.6,35.6,77,75,6.71
-0.95,100.35,padang,id,84.79,84.79,64,100,1.39
66.15,-65.71,pangnirtung,ca,31.93,31.93,95,100,5.59
69.7,170.31,pevek,ru,33.71,33.71,91,85,4.92
65.28,-126.83,norman wells,ca,41,41,65,75,11.41
12.082473015544792,-69.5878582196215,westpunt,an,,,,,
49.21,-84.77,hornepayne,ca,29.73,29.73,89,0,7.72
11.67,92.75,port blair,in,85.46,85.46,73,9,10.92
-14.44,-67.53,rurrenabaque,bo,73.36,73.36,90,41,1.25
16.86,-99.89,acapulco,mx,82.4,82.4,69,5,10.29
29.03,21.55,jalu,ly,76.41,76.41,16,0,6.64
-21.69,165.68,moindou,nc,75.2,75.2,53,40,11.41
-3.33,128.92,amahai,id,85.1,85.1,71,65,1.12
69.35,88.2,norilsk,ru,33.8,33.8,69,0,6.71
0.49,42.79,jilib,so,74.37,74.37,96,95,4.7
-45.87,-67.5,comodoro rivadavia,ar,41,41,65,0,10.29
-5.81,-61.3,manicore,br,77,77,94,8,1.12
63.01,112.47,chernyshevskiy,ru,31.46,31.46,90,100,9.8
71.69,128.87,tiksi,ru,30.94,30.94,98,99,6.17
-22.45,18.97,gobabis,na,48.2,48.2,76,14,4.7
38.5,102.17,jinchang,cn,65.25,65.25,25,100,2.53
-23.12,-134.97,rikitea,pf,75.54,75.54,68,0,6.46
77.1850139522123,-17.75302271214781,illoqqortoormiut,gl,,,,,
17.08,122.42,dicabisagan,ph,87.69,87.69,61,36,3.51
-29.95,-71.34,coquimbo,cl,51.8,51.8,81,30,2.24
-12.087394329159096,135.37313367758924,galiwinku,au,,,,,
26.53,-100.5,bustamante,mx,82.31,82.31,57,1,5.44
59.57,7.99,amot,no,28,28,76,0,5.99
-41.07,145.92,burnie,au,53.47,54,61,3,11.01
41.37,-73.41,bethel,us,47.44,48.2,29,90,3.36
39.05,-27.98,lagoa,pt,57.29,57.29,70,14,28.99
-24.13,19.12,aranos,na,57.79,57.79,36,56,4.27
60.82,-115.8,hay river,ca,41,41,76,75,12.75
28.68,-17.76,santa cruz de la palma,es,68,68,64,40,3.36
-25.17,45.05,beloha,mg,63.03,63.03,85,0,3.27
33.08,-16.33,camacha,pt,64.4,64.4,72,40,20.8
77.48,-69.36,qaanaaq,gl,29.19,29.19,87,100,5.61
38.42,77.24,shache,cn,74.97,74.97,24,30,4.65
42.33,-83.33,garden city,us,51.96,53.01,25,20,9.17
-13.65222689212861,-169.01673920424167,samusu,ws,,,,,
63.5,53.41,vodnyy,ru,52.27,52.27,85,20,6.51
-9.02,-42.7,sao raimundo nonato,br,75.06,75.06,77,66,4.18
-24.79,-50.01,castro,cl,58.48,58.48,93,66,5.03
-16.84,36.99,mocuba,mz,60.15,60.15,97,1,3.27
-29.65,-50.78,taquara,br,63.18,66.99,86,100,2.98
-20.41,57.7,mahebourg,mu,73.4,73.4,69,20,8.05
34.64,-120.46,lompoc,us,59.25,63,72,1,14.99
-2.67,141.3,vanimo,pg,87.26,87.26,61,92,2.86
-28.87,153.57,ballina,au,69.08,69.8,64,81,5.82
-46.28,169.85,kaitangata,nz,52,52,70,0,3
-17.71,-39.25,caravelas,br,73.08,73.08,84,5,4.56
17.02,54.09,salalah,om,82.4,82.4,88,0,2.24
70.03,20.97,skjervoy,no,33.22,33.22,88,99,17.74
43.78,7.66,bordighera,it,59.23,60.8,82,20,6.93
21.55,-77.26,nuevitas,cu,78.8,78.8,83,37,10.29
33.91,-98.49,wichita falls,us,64.29,66.2,77,1,16.11
63.75,-68.51,iqaluit,ca,26.29,26.6,86,75,19.46
69.45,-133.04,tuktoyaktuk,ca,19.4,19.4,79,40,17.22
37.46,-122.43,half moon bay,us,59.94,63,87,90,4.7
62.16,-7.17,vestmanna,fo,33.8,33.8,69,99,6.93
41.474704129170675,149.48478136675703,sentyabrskiy,ru,,,,,
-20.73,139.5,mount isa,au,69.8,69.8,31,100,5.82
9.260787686680999,111.22628869884,phan rang,vn,,,,,
-12.52,-76.74,chilca,pe,69.8,69.8,73,75,8.05
55.07,51.23,novosheshminsk,ru,53.13,53.13,77,6,11.34
-16.5,-68.15,la paz,mx,42.8,42.8,15,0,9.17
14.710149385896614,92.04057250821387,labutta,mm,,,,,
-28.77,114.6,geraldton,ca,73.4,73.4,25,100,19.46
43.65,51.2,aktau,kz,50,50,100,38,8.95
10.02,105.08,rach gia,vn,87.8,87.8,74,40,6.93
46.520480733154784,84.72388314159929,karamay,cn,,,,,
-33.18,138.02,port pirie,au,59,59,72,0,10.29
26.18,127.76,nishihara,jp,77,77,65,76,6.93
34.98,139.87,tateyama,jp,75.76,78.01,69,0,17.22
-42.121636588081095,48.37619110197511,tsihombe,mg,,,,,
-22.221352326243107,-80.59814104816698,marcona,pe,,,,,
11.28,-15.83,bubaque,gw,78.51,78.51,77,100,12.12
35.93,-89.92,blytheville,us,53.91,55,81,90,9.17
-0.36,42.55,kismayo,so,79.29,79.29,86,80,12.62
-6.22,155.63,kieta,pg,82.04,82.04,80,100,5.86
38.21,37.2,elbistan,tr,59.29,59.29,66,98,0.27
-19.12,33.48,chimoio,mz,60.8,60.8,77,0,3.53
1.86,9.77,bata,gq,78.35,78.35,86,100,7.36
37.81,-0.84,san javier,cl,60.48,63,77,0,4.7
64.25,-15.21,hofn,is,41.56,41.56,73,0,6.11
62.86,42.71,bereznik,ru,37.35,37.35,96,100,6.4
41.25,31.83,zonguldak,tr,56.39,56.39,66,0,5.93
68.22,-135.01,aklavik,ca,28.4,28.4,74,20,13.87
-6.84,-79.93,pimentel,pe,68.92,68.92,84,2,14.85
-2.92,-39.92,itarema,br,77.22,77.22,83,0,8.1
73.51,80.55,dikson,ru,22.41,22.41,94,0,5.88
32.81,-98.11,mineral wells,us,73.36,75,78,1,11.41
-21.36,55.77,saint-philippe,re,61.86,69.8,60,20,8.05
-22.09,-70.2,tocopilla,cl,61.9,61.9,62,5,5.39
72.88065432672403,59.48857695485853,amderma,ru,,,,,
-20.94,55.29,le port,re,62.1,71.6,64,90,13.87
50.68,156.12,severo-kurilsk,ru,44.51,44.51,64,88,7.74
27.15,57.08,minab,ir,77,77,78,40,4.7
43.74,135.29,olga,ru,58.03,58.03,40,48,8.39
17.42,121.44,tabuk,sa,88.02,88.02,60,59,3.15
31.22,121.46,shanghai,cn,74.62,75.2,29,6,13.42
25.99,-80.23,miramar,mx,77.34,78.8,57,40,12.75
-13.7,-76.22,pisco,pe,66.2,66.2,82,97,12.75
55.34,-131.65,ketchikan,us,61.23,66.2,37,1,13.87
-9.77,37.93,liwale,tz,66.4,66.4,90,98,2.21
47.47,84.87,zaysan,kz,71.4,71.4,37,34,6.6
37.03,137.85,itoigawa,jp,69.01,69.01,63,5,20.09
81.95858464285791,134.1813284324856,nizhneyansk,ru,,,,,
-0.15,31.87,lukaya,ug,71.6,71.6,94,20,2.57
-33.87,121.9,esperance,au,55.4,55.4,87,80,14.99
68.75,161.3,cherskiy,ru,45.16,45.16,56,0,5.5
23.12,113.25,canton,us,86.61,88,99,60,6.46
5.16,-52.65,kourou,gf,77,77,100,75,3.36
33.6,73.07,arya,ru,74.39,75,69,40,13.87
16.45,-85.85,savannah bight,hn,83.1,83.1,79,0,11.54
18.8,110.4,wanning,cn,85.8,85.8,70,11,8.57
-29.47,149.85,moree,au,68,68,52,100,9.08
-0.91,122.88,biak,id,85.3,85.3,66,78,5.75
32.79,119.43,gaoyou,cn,80.62,81,40,0,3
61.01,36.45,vytegra,ru,32.18,32.18,98,100,16.64
60.72,-135.05,whitehorse,ca,71.22,71.6,14,20,6.93
38.78,63.88,sayat,tm,60.8,60.8,93,90,18.34
9.35,42.8,jijiga,et,64.78,64.78,74,0,0.76
-8.27,-72.74,porto walter,br,74.46,74.46,92,8,1.9
-16.12,23.27,senanga,zm,56.23,56.23,47,0,2.53
43.3,52.8,zhanaozen,kz,53.28,53.28,75,0,7.94
69.38,178.42,leningradskiy,ru,31.8,31.8,98,100,9.22
47.02,-113.8,missoula,us,51.08,53.01,76,90,12.75
-33.48,150.15,lithgow,au,55.72,57.99,76,100,7.4
-33.03,137.58,whyalla,au,59,59,72,14,10.29
69.41,86.18,dudinka,ru,33.8,33.8,69,21,6.71
-27.463287785794236,81.02931807813525,grand river south east,mu,,,,,
-19.55,169.27,isangel,vu,78.8,78.8,57,75,6.93
57.8,158.67,tigil,ru,44.33,44.33,61,46,4.61
24.56,-81.78,key west,us,76.84,78.8,69,1,16.11
46.49,135.88,vostok,ru,47.39,47.39,54,78,11.92
26.57,76.33,lalsot,in,82.4,82.4,54,40,8.05
16.52,-98.75,tecoanapa,mx,81.01,81.01,74,6,5.79
64.7,43.39,pinega,ru,32.85,32.85,96,100,12.1
63.73,8.83,sistranda,no,33.8,33.8,86,75,17.22
53.05,158.65,petropavlovsk-kamchatskiy,ru,57.2,57.2,28,0,11.18
-23.86,35.38,inhambane,mz,65.59,65.59,74,0,0.81
-0.9,-89.6,puerto baquerizo moreno,ec,75.18,75.18,89,11,9.71
-32.25,148.62,dubbo,au,60.8,60.8,51,90,3.56
3.31653704195746,177.08599078519177,rawannawi,ki,,,,,
41.28,-70.1,nantucket,us,50.7,51.8,37,1,16.11
18.39,42.45,faya,td,67.91,69.8,55,0,2.57
49.68,-83.67,hearst,ca,28.63,28.63,89,5,2.26
37.72,-25.43,vila franca do campo,pt,57.2,57.2,76,20,4.7
-15.11007960128957,100.7472669658452,palabuhanratu,id,,,,,
67.67,53.09,naryan-mar,ru,38.75,38.75,94,28,7.49
-20.34,57.76,bambous virieux,mu,73.4,73.4,69,20,8.05
32.88,13.19,tripoli,ly,75.67,75.67,37,9,17.36
62.23,-6.59,klaksvik,fo,33.8,33.8,69,99,6.93
38.73,-27.07,praia da vitoria,pt,57.2,57.2,82,40,27.56
11.0,122.67,dingle,ie,90.54,90.54,55,27,5.14
37.94,22.96,corinth,us,60.01,60.01,47,31,1.99
-25.05,33.64,xai-xai,mz,61.02,61.02,82,0,5.57
30.22,-90.9,ascension,mx,71.92,73,80,93,7.25
50.27,85.61,ust-koksa,ru,60.55,60.55,52,0,1.57
49.19231362213216,74.41599367961524,karkaralinsk,kz,,,,,
38.61,-122.87,healdsburg,us,60.69,63,63,75,13.87
35.73,140.83,hasaki,jp,76.53,78.01,53,20,10.29
46.67,17.64,lengyeltoti,hu,41,41,100,52,4.05
32.39,-94.88,kilgore,us,72.72,73.4,73,1,6.93
