Lat,Long,City,Country,Temperature (F),Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
74.7665154391332,12.415544299487152,barentsburg,sj,,,,,
4.88,-1.76,takoradi,gh,79.77,79.77,86,9,6.15
12.22,4.38,jega,ng,90.99,90.99,40,92,7.07
37.1,-113.58,saint george,bm,81.5,82.99,11,1,24.16
28.17,94.77,along,in,72.61,72.61,76,100,0.38
57.30946511450972,-5.25337883724481,kyle of lochalsh,gb,,,,,
70.63,147.92,chokurdakh,ru,33.03,33.03,100,100,6.91
-33.7,-53.46,chuy,uy,55.74,55.74,85,28,7.07
26.63,92.8,tezpur,in,81.82,81.82,62,0,9.82
-16.52,-151.75,vaitape,pf,82.54,82.54,72,100,11.3
57.79,-152.41,kodiak,us,51.8,51.8,66,90,5.82
-35.93,173.88,dargaville,nz,65.46,65.46,63,100,12.06
-31.43,152.92,port macquarie,au,67.48,68,67,94,1.99
59.7,150.17,arman,ru,39.07,39.07,78,97,2.24
62.67,135.6,khandyga,ru,44.67,44.67,69,100,7.63
-11.320825512422374,128.89128140464328,nguiu,au,,,,,
14.9,-24.5,sao filipe,cv,72.91,72.91,76,22,10.45
-45.58,-72.07,coihaique,cl,35.6,35.6,100,20,8.05
60.05,69.9,gornopravdinsk,ru,72.03,72.03,56,5,3.31
61.37546009331527,146.61621918057676,kadykchan,ru,,,,,
-10.0,38.98,mbekenyera,tz,71.29,71.29,87,95,0.63
-8.84,13.23,luanda,ao,80.6,80.6,83,75,2.98
2.82,-60.67,boa vista,br,82.4,82.4,69,40,4.7
39.18,-84.53,hamilton,bm,51.01,54,57,20,2.53
-11.06645123598831,44.79146503089902,mutsamudu,km,,,,,
27.51,-99.51,laredo,us,87.8,87.8,55,1,11.41
6.5,2.6,porto novo,cv,84.2,84.2,79,20,5.82
13.77,109.23,qui nhon,vn,85.24,85.24,66,77,2.37
31.61,34.76,gat,ly,66.65,72,72,34,3.36
-20.44,-53.76,ribas do rio pardo,br,70.52,70.52,82,30,5.7
20.18,94.88,minbu,mm,90.36,90.36,39,100,5.32
62.1,126.7,berdigestyakh,ru,41.76,41.76,62,82,3.29
62.22,49.99,aykino,ru,51.58,51.58,87,1,5.75
63.05,179.32,beringovskiy,ru,34.77,34.77,90,42,9.44
42.8,93.45,hami,cn,78.8,78.8,14,100,6.91
25.52,90.22,tura,ru,85.17,85.17,38,1,6.49
30.16,-95.49,the woodlands,us,71.71,77,83,75,3.36
60.4,-1.35,brae,gb,37.4,37.4,77,35,14.99
40.42,36.58,tokat,tr,51.64,51.64,63,0,1.97
52.87,123.32,changying,cn,53.46,53.46,35,100,6.93
-27.61,-48.5,florianopolis,br,71.53,73,88,100,4.7
60.14,-45.24,nanortalik,gl,41.41,41.41,77,100,10.74
43.08,-2.51,udala,in,48.63,48.99,98,100,4
60.42,134.53,ust-maya,ru,38.17,38.17,94,100,5.91
-31.54,-68.54,san juan,us,57.76,57.76,36,0,5.97
56.06044644496336,162.60003082767184,ust-kamchatsk,ru,,,,,
68.5,14.83,melbu,no,33.01,33.01,81,100,1.99
-8.61,120.47,ruteng,id,75.56,75.56,65,4,2.55
33.67,-95.58,lamar,us,62.76,64.4,88,1,9.17
-45.87,170.5,dunedin,nz,59,59,57,0,5.99
-7.26,-34.91,conde,br,77,77,94,20,6.96
13.64,16.49,moussoro,td,89.78,89.78,35,65,7.61
-22.67,167.48,vao,nc,71.15,71.15,73,32,19.42
41.29,1.25,valls,es,60.03,61,93,100,2.24
70.37,31.11,vardo,no,33.78,33.78,87,0,14.85
64.07,11.22,malm,no,33.82,34,93,75,16.11
66.04,-17.34,husavik,is,37.4,37.4,74,75,5.82
-2.02,147.27,lorengau,pg,81.07,81.07,83,96,10.31
6.12,81.12,hambantota,lk,77,77,100,75,2.24
2.5086555313037877,178.50748634114518,rungata,ki,,,,,
-20.12,16.15,outjo,na,58.01,58.01,48,10,4.45
52.65,8.12,dinklage,de,40.28,41,86,0,3.36
-32.5,137.77,port augusta,au,59.76,60.01,72,5,10.29
33.6,-101.83,lubbock,us,64.4,64.4,68,20,23.04
18.22,-63.06,the valley,ai,80.53,81,74,20,12.75
-11.634288197017241,133.0759412796454,jabiru,au,,,,,
58.52,-117.14,high level,ca,66.2,66.2,19,40,4.7
39.62,15.86,belvedere marittimo,it,56.01,57,46,0,4.27
-15.2,12.15,namibe,ao,75.4,75.4,56,13,7.52
5.95,80.54,matara,lk,80.06,80.06,82,100,3.51
68.12,13.5,gravdal,no,33.87,33.87,85,100,14.16
21.09,-87.45,kantunilkin,mx,80.29,80.6,83,75,5.82
5.89,95.32,sabang,id,82.89,82.89,77,53,6.33
4.31,22.56,ouango,cf,71.8,71.8,97,100,3.51
20.5,-10.07,adrar,dz,80.33,80.33,18,0,10.42
20.89,-156.47,kahului,us,76.95,82.4,61,75,18.34
64.89,-23.71,olafsvik,is,40.64,40.64,82,100,9.91
-35.33,-72.42,constitucion,mx,53.15,53.15,66,0,7.56
12.18,125.51,san policarpo,ph,83.3,83.3,82,100,10.09
18.63,-91.83,carmen,mx,82.4,82.4,78,40,16.11
-8.62,122.21,maumere,id,84.88,84.88,63,67,4.79
59.36,5.22,visnes,no,37.13,39.2,69,0,14.99
22.57,59.53,sur,om,82.72,82.72,73,0,8.77
50.1,128.05,tambovka,ru,57.2,57.2,24,20,8.95
63.84,-22.43,grindavik,is,39.2,39.2,80,90,11.41
35.16,112.86,xixiang,cn,82.56,82.56,22,36,7.34
40.46,-90.67,macomb,us,56.52,57.2,47,40,10.29
30.05,-98.03,hays,us,64.99,64.99,97,88,3
49.74,84.27,zyryanovsk,kz,63.68,63.68,57,0,1.7
-33.75,-61.97,venado tuerto,ar,50,50,70,50,1.99
-13.2,49.05,ambilobe,mg,69.69,69.69,90,100,3.2
33.57,-84.41,riverdale,us,66.61,69.8,37,40,3.36
-6.180176880287689,176.33112136598692,lolua,tv,,,,,
41.57,35.91,bafra,tr,55.4,55.4,87,0,5.82
-17.146551493747808,136.12930078616432,ngukurr,au,,,,,
-14.9,50.28,antalaha,mg,70.99,70.99,87,94,7.34
64.84,-147.72,fairbanks,us,55.65,57.2,62,75,3.36
60.47,166.1,tilichiki,ru,32.94,32.94,100,63,5.14
-34.73,135.87,port lincoln,au,58.08,58.08,51,42,10.96
40.29,38.42,sebinkarahisar,tr,52.14,52.14,65,0,1.3
-38.55,-58.74,necochea,ar,46.99,46.99,83,49,8.16
7.53,-12.51,bonthe,sl,80.1,80.1,85,99,4.94
-21.64,-41.05,sao joao da barra,br,72.09,72.09,86,87,12.95
-23.78,-45.36,ilhabela,br,69.85,69.85,69,2,2.98
27.20224874580832,48.90473651837297,safwah,sa,,,,,
46.42,3.91,saint-francois,gp,50,50,81,90,4.7
-10.93,35.02,mbinga,tz,66.2,66.2,88,5,1.16
57.03,29.33,novorzhev,ru,28.49,28.49,98,0,5.82
28.65,70.66,khanpur,in,84,84,47,90,15.23
-16.66,-48.61,silvania,br,63.41,69.8,87,1,3.36
40.77,-72.85,mastic beach,us,49.62,51.01,31,20,4.7
66.77,123.37,zhigansk,ru,31.26,31.26,97,93,12.64
2.557925016142093,43.452104339368304,dinsor,so,,,,,
69.23,17.98,finnsnes,no,28.18,28.4,79,97,14.99
48.76,-91.62,atikokan,ca,36.63,36.63,67,0,3.69
-21.48,-56.14,jardim,br,71.11,71.11,97,94,2.37
0.52,25.2,kisangani,cd,71.15,71.15,96,100,1.79
-11.1,-77.61,hualmay,pe,67.32,67.32,83,47,7.87
4.93,-52.33,cayenne,gf,77,77,100,75,3.36
54.02,-124.02,vanderhoof,ca,65.41,65.41,28,0,2.19
-46.13,167.68,tuatapere,nz,54.55,54.55,47,0,2.73
5.38,-52.95,sinnamary,gf,78.1,78.1,89,100,15.55
62.71,56.2,troitsko-pechorsk,ru,54.12,54.12,93,84,7.67
41.77,34.87,sinop,tr,59.18,59.18,44,0,5.82
14.0,-11.0,kayes,ml,93.2,93.2,32,36,4.7
-36.78,-59.86,azul,ar,48.15,48.15,60,50,4.7
41.14,-73.36,westport,nz,48.63,51.8,27,20,4.7
67.86,20.23,kiruna,se,24.8,24.8,68,70,5.82
60.38,92.63,teya,ru,46.94,46.94,60,100,6.42
-6.22,-57.75,jacareacanga,br,74.88,74.88,95,77,0.6
39.27,141.88,kamaishi,jp,69.8,69.8,49,75,10.29
39.25,9.18,quartucciu,it,69.98,71.6,53,25,23.04
-5.413189899645971,-172.23399051249334,saleaula,ws,,,,,
60.31,54.32,gayny,ru,50.65,50.65,93,73,8.16
-26.75,-55.27,edelira,py,65.14,65.14,99,100,4.72
41.12,80.26,aksu,cn,73.22,73.22,21,43,5.84
66.0,111.5,aykhal,ru,23,23,73,90,6.71
32.79,-79.86,mount pleasant,us,60.01,63,67,1,4.76
-5.79,-35.21,natal,br,75.2,75.2,100,1,4.7
11.75,-2.93,boromo,bf,88.3,88.3,43,100,6.42
13.59,-89.83,acajutla,sv,80.01,80.01,84,84,1.99
29.95,-91.75,iberia,pe,74.62,75.2,69,1,6.93
35.13,140.3,katsuura,jp,78.37,78.8,44,20,14.99
57.31,88.17,teguldet,ru,65.89,65.89,40,100,3.4
48.425165223433964,62.13874825928838,kazalinsk,kz,,,,,
49.17,10.33,feuchtwangen,de,36,39.2,100,20,2.19
50.23,-63.6,havre-saint-pierre,ca,41,41,80,90,9.17
-9.01,-35.22,maragogi,br,77.59,77.59,86,19,5.19
-15.77,128.73,kununurra,au,80.6,80.6,18,48,9.17
-10.75,-77.77,barranca,pe,65.89,65.89,88,66,5.35
42.42,-122.83,jackson,us,58.51,60.8,48,75,9.17
3.728980947163336,76.14664745968702,felidhoo,mv,,,,,
59.33,14.52,karlskoga,se,35.4,37.4,93,100,10.29
35.08,109.09,tongchuan,cn,70.05,70.05,28,100,7.94
36.19,117.66,laiwu,cn,74.61,74.61,40,0,12.62
32.69,128.84,fukue,jp,68,68,42,0,19.46
2.04,45.34,mogadishu,so,79.56,79.56,85,100,17.29
-35.17,173.17,ahipara,nz,66.27,66.27,63,100,10.87
-14.27,50.17,sambava,mg,72.61,72.61,87,99,10.33
8.0,124.29,marawi,sd,84,84,79,88,3
-31.95,141.43,broken hill,au,57.2,57.2,62,0,14.99
8.41,48.48,garowe,so,80.76,80.76,71,0,6.11
-2.5397384572233506,176.28269083125224,ijaki,ki,,,,,
42.59,-82.92,clinton,us,41.52,42.8,73,20,16.11
-15.35,-48.5,padre bernardo,br,64.9,64.9,82,9,3.06
13.22,-59.52,bathsheba,bb,80.6,80.6,69,20,23.04
32.69,47.27,dehloran,ir,75.83,75.83,21,0,8.08
44.7,11.81,portomaggiore,it,53.67,54,84,55,1.01
-7.95,110.28,bambanglipuro,id,84.33,84.33,71,23,12.86
32.38,15.09,misratah,ly,68.61,68.61,74,17,15.68
63.9,122.76,kysyl-syr,ru,33.67,33.67,89,100,7.14
18.73,-103.68,coahuayana,mx,74.52,74.52,82,49,1.92
25.26,63.47,pasni,pk,81.46,81.46,89,1,4.61
60.9,131.96,amga,ru,36.99,36.99,92,100,3.2
64.18,-51.72,nuuk,gl,41,41,93,100,3.36
35.61110557348158,-0.8369563436528722,wahran,dz,,,,,
-18.65,-173.98,neiafu,to,84.2,84.2,74,75,5.82
65.92577607613538,146.90755863238974,artyk,ru,,,,,
34.06,-117.65,ontario,us,65.89,69.8,56,75,14.99
-21.15,55.28,saint-leu,re,61.68,69.8,60,20,8.05
29.27,82.18,jumla,np,58.89,58.89,49,14,0.76
0.7523714989912946,128.57006203612752,tidore,id,,,,,
-15.86,-38.88,belmonte,br,73.4,73.4,78,75,3.36
-25.3,152.85,hervey bay,au,75,75,60,35,4
57.51,-1.8,peterhead,gb,37.58,41,80,40,9.17
21.47,-158.22,makaha,us,77.92,78.8,69,90,12.75
48.46,-67.43,amqui,ca,32.7,33.8,80,75,11.41
32.08,131.47,shintomi,jp,75.2,75.2,31,87,13.87
10.61,-66.85,caraballeda,ve,73.99,73.99,75,7,3
16.29,119.81,catuday,ph,86.79,86.79,65,5,1.52
28.383909575718818,5.132120743348878,warqla,dz,,,,,
61.95,159.23,evensk,ru,34.05,34.05,92,2,2.98
-28.0,153.43,gold coast,au,72.5,73.99,56,90,3.36
61.51,38.95,kargopol,ru,31.5,31.5,99,100,8.34
3.52,39.06,moyale,et,64.04,64.04,91,71,5.19
43.13,-115.69,mountain home,us,62.6,62.6,29,90,13.87
21.4,-157.74,kailua,us,75.9,80.6,61,90,9.17
61.70905663924188,165.77148879365325,kamenskoye,ru,,,,,
50.72,136.63,solnechnyy,ru,47.34,47.34,85,100,1.48
-4.28,-55.98,itaituba,br,75.47,75.47,96,100,1.54
0.15,29.28,butembo,cd,57.97,57.97,100,100,1.97
27.98,-114.06,guerrero negro,mx,64.94,64.94,70,0,19.64
34.88,132.08,hamada,jp,64.4,64.4,59,20,5.82
38.7,-9.42,cascais,pt,58.62,60.01,87,71,11.18
-1.76,-48.8,ipixuna,br,77,77,100,75,4.7
42.25,-75.83,broome,au,33.35,36,98,90,10.29
44.51,50.26,fort-shevchenko,kz,57.63,57.63,81,97,16.35
27.72,85.32,kathmandu,np,66.2,66.2,82,75,3.91
39.09,17.12,crotone,it,63.59,63.59,53,0,4.5
53.53778516235667,-81.48311563710253,attawapiskat,ca,,,,,
68.05,166.44,bilibino,ru,38.52,38.52,73,0,1.45
-18.12,-63.93,mairana,bo,57.78,57.78,100,94,1.34
20.9,70.37,veraval,in,82.4,82.4,80,0,13.27
-11.38,43.28,mitsamiouli,km,80.65,80.65,74,100,9.35
-24.71,-47.56,iguape,br,69.31,69.31,75,92,5.1
87.12730148515789,-176.5261589843818,mys shmidta,ru,,,,,
-34.57,-59.1,lujan,ar,49.51,53.01,74,27,3.15
-14.25,129.55,port keats,au,84.56,84.56,32,0,12.55
32.32,121.19,juegang,cn,77,77,35,1,1.01
-25.17,46.08,ambovombe,mg,65.39,65.39,84,0,3.87
35.29,-2.94,melilla,es,59.49,60.8,67,2,2.24
27.92,96.17,tezu,in,83.68,83.68,43,99,1.3
44.3867537327358,20.55143438016185,arandelovac,rs,,,,,
36.62,101.77,xining,cn,53.22,53.22,45,69,3.58
34.67,138.95,shimoda,jp,73.4,73.4,69,0,17.22
51.03,-4.22,northam,au,43,43,84,23,7.16
50.73,4.6,wavre,be,37.06,39.2,80,20,2.24
50.09,-97.22,stony mountain,ca,51.58,52,15,75,6.93
19.22,-104.7,san patricio,mx,80.6,80.6,83,20,9.17
-6.34,-37.75,catole do rocha,br,72.52,72.52,93,70,4.21
21.32,-158.01,ewa beach,us,78.01,78.8,65,90,11.41
14.4,46.47,marzuq,ly,78.33,78.33,34,0,1.72
13.78,124.39,gigmoto,ph,85.78,85.78,72,100,7.31
-22.63,-54.82,caarapo,br,68.99,68.99,97,98,7.25
9.27,-3.0,bouna,ci,77.5,77.5,71,48,4.56
9.864496677557511,116.50751351126388,candawaga,ph,,,,,
57.47,31.12,poddorye,ru,27.72,27.72,98,0,6.4
-29.78,-55.79,alegrete,br,64.33,64.33,96,100,10.09
15.12,108.8,quang ngai,vn,89.17,89.17,53,42,4.61
-43.3,-65.1,rawson,ar,47.44,47.44,64,11,14.97
37.01,37.79,nizip,tr,51.8,51.8,87,0,1.12
-6.88,112.21,labuhan,id,83.34,83.34,79,14,7.99
1.0,-52.0,amapa,br,73.27,73.27,98,100,1.99
56.8,59.93,revda,ru,46.4,46.4,93,89,4.99
11.528637633866111,33.88194590684009,galgani,sd,,,,,
5.382969182943626,-84.34258569216135,burica,pa,,,,,
44.39,-68.2,bar harbor,us,38.62,41,64,1,3.36
50.56,58.27,batamshinskiy,kz,46.4,46.4,93,0,6.71
53.58,-116.44,edson,ca,50,50,39,1,8.05
46.68,113.28,baruun-urt,mn,67.96,67.96,25,1,12.62
67.8,130.41,batagay-alyta,ru,27.52,27.52,97,100,3.78
44.61,132.8,spasskoye,ua,53.38,53.38,47,26,11.77
28.89,64.41,dalbandin,pk,79.56,79.56,51,0,6.8
-1.2749417947090507,166.37769195829196,tabiauea,ki,,,,,
-5.2,-35.46,touros,br,75.2,75.2,100,19,4.7
64.5,-165.41,nome,us,43.48,44.6,75,90,21.92
-18.84,-50.12,santa vitoria,br,65.84,65.84,73,83,5.1
55.62,-3.52,biggar,ca,38.71,39.2,64,24,4.7
-7.84,-79.15,chicama,pe,70.77,70.77,76,0,6.44
26.54,-77.06,marsh harbour,bs,74.41,74.41,73,100,21.85
21.64,69.61,porbandar,in,81.81,81.81,82,2,9.93
54.56,42.47,kadom,ru,56.95,56.95,93,100,15.3
36.21,-5.38,san roque,ph,60.8,60.8,77,14,3.36
-21.01,55.27,saint-paul,re,61.97,71.6,64,90,13.87
8.89,-64.25,el tigre,ve,80.8,80.8,64,89,14.72
-12.43,13.55,catumbela,ao,76.17,76.17,77,1,0.98
-7.2,146.65,bulolo,pg,80.19,80.19,70,76,2.86
4.14,96.13,meulaboh,id,80.31,80.31,83,100,5.19
24.47,54.37,abu dhabi,ae,84,84.99,39,0,18.34
42.18,69.88,lenger,kz,62.6,62.6,88,90,2.24
40.16,-8.33,lata,sb,52.39,55.99,92,24,1.99
-9.11,124.89,atambua,id,82.94,82.94,58,78,4.76
33.19,-82.53,avera,pf,60.48,62.6,59,1,4.41
-42.72,170.97,hokitika,nz,57.97,57.97,77,100,3.6
30.19,116.03,huangmei,cn,78.06,78.06,46,68,7.34
1.05,101.28,balaipungut,id,75.2,75.2,94,75,5.82
8.01,-62.4,upata,ve,79,79,87,100,3
40.79,-73.42,melville,ca,51.21,54,25,40,3.36
-20.23,164.02,poum,nc,74.44,74.44,61,0,17.81
67.60332902079435,37.023718871970004,tumannyy,ru,,,,,
-21.55,167.88,tadine,nc,73.54,73.54,64,0,14.47
41.381659981700096,82.2435287047515,kuche,cn,,,,,
41.92,3.16,palafrugell,es,60.96,62.01,50,93,13.29
61.99,5.14,raudeberg,no,34,34,93,92,12.24
45.25,77.98,ushtobe,kz,71.76,71.76,41,0,2.84
-10.07,-78.15,huarmey,pe,67.95,67.95,83,30,7.78
62.0,132.43,churapcha,ru,41.02,41.02,87,100,6.96
50.12,139.15,vysokogornyy,ru,46.27,46.27,78,100,6.13
-19.98,57.61,cap malheureux,mu,73.4,73.4,69,20,8.05
41.72,-8.86,areosa,pt,57.74,57.99,93,20,8.05
37.05,140.88,iwaki,jp,70.79,75.99,52,20,9.17
17.88,102.74,nong khai,th,88.56,91,83,75,4.7
7.04,134.26,kloulklubed,pw,86,86,74,75,3.36
-2.08,101.38,sungaipenuh,id,75.02,75.02,77,100,1.36
57.22,94.9,taseyevo,ru,57.51,57.51,51,100,5.48
13.52,35.77,doka,sd,84.58,84.58,33,36,8.32
35.41,116.58,jining,cn,76.98,76.98,45,0,13.35
64.56,39.83,severodvinsk,ru,33.8,33.8,93,90,6.71
32.12,20.07,benghazi,ly,73.51,73.51,44,62,9.26
17.08,78.2,farrukhnagar,in,77,77,83,20,4.7
12.28,-10.97,dire,ml,83.48,83.48,48,70,1.9
-18.37,21.85,shakawe,bw,57.16,57.16,42,0,2.77
50.83,-0.14,brighton,us,44.01,44.01,70,31,1.01
-34.0,24.73,kruisfontein,za,58.21,58.21,78,64,19.44
12.22,125.48,alugan,ph,83.16,83.16,83,100,9.19
49.24,135.17,litovko,ru,52.95,52.95,68,100,4.43
-31.63,-71.17,illapel,cl,47.57,47.57,71,66,1.32
8.93,8.6,wamba,cd,78.31,78.31,76,65,0.56
-32.88,-68.8,bermejo,bo,53.6,53.6,50,21,3.2
17.49,44.13,najran,sa,78.8,78.8,29,0,5.14
